userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake
380,500,38,19,1,1,0,9,0
270,493,0,0,1,0,0,13,0
427,981,20,95,1,1,2,13,0
386,482,32,48,1,1,0,7,0
65,67,79,116,1,0,0,8,0
315,363,26,0,1,0,0,8,0
69,100,0,5,1,1,0,9,0
339,476,56,33,1,1,0,8,0
156,199,42,2,1,0,0,11,0
288,304,45,5,1,1,0,11,0
101,109,0,2,1,1,3,17,0
358,336,0,9,1,0,0,13,0
467,519,13,16,1,1,0,17,0
318,306,51,13,1,0,0,11,0
352,575,6,88,1,1,0,13,0
256,344,34,53,1,1,0,12,0
228,320,17,20,1,1,0,11,0
257,252,0,25,1,0,0,12,0
240,492,78,12,1,1,0,13,0
203,256,0,1,1,1,0,7,0
79,80,7,2,1,1,0,11,0
431,463,21,42,1,1,0,10,0
217,266,11,13,1,1,0,13,0
423,523,0,114,1,1,0,11,0
142,224,0,8,1,0,0,7,0
432,410,25,26,1,1,0,10,0
310,357,23,44,1,1,0,10,0
333,358,35,23,1,1,0,18,0
202,201,0,21,1,1,0,9,0
421,565,30,44,1,1,0,6,0
449,481,34,45,1,1,2,10,0
318,318,8,9,1,1,0,10,0
371,370,29,10,1,1,0,14,0
262,265,19,22,1,1,0,11,0
588,497,0,13,1,1,0,12,0
636,632,16,111,1,0,0,5,0
266,257,44,105,1,1,0,11,0
204,126,0,393,1,0,0,14,0
514,573,19,216,1,0,2,15,0
450,708,52,58,1,1,0,10,0
406,478,0,76,1,1,0,12,0
397,371,0,298,1,1,0,6,0
1078,179,0,131,1,0,2,15,0
523,396,30,52,1,1,0,11,0
255,246,0,12,1,1,0,12,0
87,95,24,11,1,1,0,17,0
133,135,20,4,1,1,0,10,0
197,267,13,8,1,1,0,12,0
709,692,0,76,1,1,0,17,0
296,291,0,26,1,1,0,14,0
198,198,17,35,1,0,0,12,0
619,793,98,272,1,1,0,7,0
174,172,0,1,1,1,0,10,0
190,184,0,2,1,1,0,11,0
198,233,0,28,1,1,0,15,0
324,323,0,114,1,1,0,10,0
251,257,0,24,1,1,0,15,0
218,255,0,2,1,1,0,9,0
224,287,0,51,1,1,0,13,0
293,259,0,36,1,1,0,13,0
155,359,73,71,1,1,0,8,0
204,263,49,24,1,0,0,9,0
512,365,67,12,1,1,2,12,0
257,291,139,19,1,1,2,10,0
213,245,0,31,1,1,0,12,0
369,396,0,5,1,1,0,12,0
309,323,0,96,1,1,0,11,0
472,534,0,27,1,1,0,7,0
202,340,0,28,1,1,0,11,0
272,240,0,147,1,0,0,13,0
303,341,20,12,1,1,0,13,0
189,190,0,9,1,1,0,6,0
455,449,18,32,1,1,0,12,0
634,618,17,25,1,1,0,7,0
541,516,134,84,1,0,0,8,0
450,473,64,152,1,1,0,15,0
143,237,0,3,1,0,0,12,0
467,681,1,149,1,1,0,10,0
1050,820,43,332,1,0,0,10,0
194,278,0,3,1,1,1,11,0
55,31,0,1,1,0,0,8,0
462,682,0,94,1,1,0,10,0
455,603,0,79,1,1,0,11,0
246,267,0,55,1,1,0,15,0
116,214,0,5,1,1,0,11,0
97,156,0,24,1,1,0,9,0
1507,1198,35,175,1,1,0,13,0
196,270,0,199,1,0,0,15,0
304,450,0,271,1,1,0,8,0
488,546,14,25,1,1,0,9,0
464,684,39,102,1,1,0,10,0
894,874,1,414,1,1,2,11,0
871,841,78,161,1,0,0,12,0
281,560,32,396,1,1,0,10,0
1170,1355,0,491,1,1,0,14,0
474,935,72,273,1,1,0,8,0
489,570,40,367,1,1,0,11,0
604,674,0,65,1,1,0,11,0
964,861,29,9,1,1,0,8,0
359,386,0,397,1,1,0,15,0
523,782,9,471,1,1,0,5,0
615,1187,1,984,1,1,0,13,0
894,720,41,80,1,0,0,11,0
420,457,21,127,1,0,0,10,0
495,491,40,12,1,1,2,11,0
557,703,0,60,1,0,0,11,0
403,449,8,204,1,1,0,12,0
450,579,103,67,1,1,0,9,0
242,273,0,206,1,1,0,13,0
381,1319,144,102,1,1,0,11,0
736,662,0,312,1,0,0,7,0
625,977,13,7,1,1,0,11,0
372,362,36,13,1,1,0,7,0
550,555,133,234,1,1,0,16,0
150,184,0,79,1,0,0,6,0
407,464,70,579,1,1,0,7,0
1017,1201,0,263,1,0,0,14,0
148,426,0,22,1,1,0,8,0
1209,1093,38,289,1,0,0,8,0
382,691,0,300,1,1,0,6,0
520,604,15,732,1,0,0,9,0
1002,1089,0,582,1,1,0,10,0
305,386,24,166,1,1,0,9,0
619,937,0,16,1,1,0,10,0
619,750,24,38,1,1,0,9,0
719,607,45,69,1,1,0,11,0
108,125,1,16,1,1,0,13,0
343,388,0,67,1,1,0,5,0
323,405,0,69,1,1,0,10,0
1020,1048,101,126,1,0,0,8,0
982,979,0,266,1,0,0,13,0
416,460,0,104,1,1,0,10,0
511,916,0,134,1,1,0,12,0
511,563,32,16,1,0,0,15,0
403,490,0,38,1,1,0,12,0
319,429,0,68,1,1,0,7,0
213,406,0,169,1,1,0,6,0
199,228,0,12,1,1,0,8,0
211,255,23,27,1,1,4,10,0
214,208,0,9,1,1,0,12,0
875,878,4,15,1,1,0,13,0
907,927,64,36,1,1,0,14,0
299,540,0,112,1,1,0,12,0
625,921,0,91,1,1,0,7,0
238,410,11,44,1,1,0,10,0
167,294,0,37,1,1,0,14,0
509,690,0,15,1,1,0,10,0
210,238,0,1,1,0,0,10,0
366,377,8,373,1,1,0,9,0
475,551,0,93,1,1,0,11,0
330,272,14,103,1,1,0,10,0
362,373,0,19,1,0,0,10,0
248,289,22,21,1,1,0,10,0
379,531,27,52,1,1,0,11,0
431,688,0,15,1,1,0,9,0
609,719,89,37,1,0,0,11,0
548,480,0,98,1,1,0,7,0
428,413,16,314,1,1,0,12,0
361,1066,0,308,1,1,0,12,0
775,691,25,26,1,1,0,6,0
543,1020,41,179,1,1,0,14,0
383,419,4,5,1,1,0,11,0
103,143,0,20,1,1,1,11,0
367,361,0,98,1,1,0,9,0
321,295,18,99,1,1,0,11,0
146,134,31,36,1,1,0,10,0
219,337,0,0,1,1,1,7,0
302,362,1,54,1,1,0,13,0
379,484,0,130,1,1,0,10,0
468,504,0,26,1,1,0,9,0
645,694,0,69,1,1,0,12,0
251,321,48,42,1,1,0,12,0
276,352,0,69,1,1,0,8,0
302,307,7,80,1,1,0,15,0
357,593,0,20,1,1,0,9,0
251,292,0,3,1,1,0,9,0
824,962,23,5,1,0,0,14,0
549,545,0,100,1,1,0,11,0
552,639,1,184,1,1,0,10,0
409,407,25,164,1,1,0,12,0
362,332,0,38,1,0,0,14,0
374,449,0,26,1,1,0,12,0
601,509,33,223,1,1,0,10,0
723,649,18,62,1,0,0,8,0
473,531,24,19,1,1,0,10,0
536,669,21,30,1,1,2,8,0
404,458,0,240,1,1,0,10,0
516,764,0,217,1,1,0,10,0
406,392,0,142,1,0,0,6,0
400,835,0,44,1,1,0,9,0
1933,995,0,107,1,1,0,11,0
500,667,0,150,1,1,0,11,0
447,749,0,185,1,1,0,14,0
439,910,1,517,1,1,0,10,0
1054,1538,25,445,1,0,0,6,0
208,571,0,11,1,0,0,8,0
349,806,125,66,1,1,0,10,0
427,594,7,37,1,1,0,9,0
323,505,0,0,1,1,1,13,0
341,440,51,9,1,1,0,14,0
104,120,0,12,1,1,0,9,0
272,302,31,1,1,1,0,7,0
170,181,18,15,1,1,0,14,0
381,515,43,67,1,1,0,12,0
196,224,0,0,1,0,0,10,0
141,96,91,9,1,0,0,9,0
273,392,0,5,1,1,0,11,0
1221,999,0,30,1,1,0,13,0
402,478,56,22,1,1,0,14,0
260,390,0,37,1,1,0,11,0
180,224,0,3,1,1,2,8,0
137,1096,0,5,1,0,0,12,0
43,48,0,13,1,1,4,10,0
404,408,27,102,1,1,0,7,0
719,1107,0,227,1,1,0,13,0
771,1743,96,118,1,1,0,15,0
271,771,30,81,1,1,0,9,0
124,115,0,143,1,0,0,6,0
102,264,0,11,1,1,0,12,0
109,154,0,0,1,1,0,14,0
422,466,25,27,1,1,0,12,0
544,371,24,5,1,1,2,9,0
284,315,0,23,1,1,0,7,0
1083,1066,46,469,1,0,0,9,0
647,454,0,6,1,1,0,6,0
172,141,0,62,1,0,0,9,0
255,308,0,80,1,1,0,11,0
718,917,84,86,1,1,2,12,0
120,135,14,46,1,0,0,13,0
531,480,0,13,1,0,0,12,0
136,162,103,2,1,1,2,8,0
661,628,63,29,1,1,0,8,0
70,90,0,0,1,1,4,9,0
1562,1213,0,98,1,1,0,14,0
1483,1498,28,770,1,1,0,11,0
1087,922,133,284,1,0,0,10,0
911,561,29,211,1,0,0,13,0
1257,857,14,228,1,0,0,11,0
433,490,0,12,1,1,0,11,0
267,319,19,15,1,1,0,16,0
163,109,0,36,1,1,2,12,0
196,207,0,27,1,1,0,7,0
260,296,10,2,1,0,0,7,0
192,145,0,37,1,1,0,10,0
187,191,24,45,1,0,0,15,0
579,504,27,35,1,1,0,11,0
442,719,0,96,1,0,2,7,0
5,4,0,0,1,0,2,13,0
309,827,0,203,1,1,0,9,0
189,332,0,5,1,1,0,16,0
522,493,0,43,1,1,0,11,0
43,30,0,15,1,1,2,6,0
59,89,0,0,1,0,2,12,0
168,10,0,0,1,0,0,5,0
213,274,0,1,1,1,0,13,0
56,153,28,36,1,1,3,13,0
294,307,0,22,1,1,2,11,0
290,656,0,50,1,1,0,11,0
488,1071,0,53,1,1,0,7,0
384,455,0,31,1,0,2,6,0
390,520,38,78,1,1,0,10,0
1342,712,24,112,1,0,0,12,0
486,651,18,227,1,1,0,7,0
94,123,0,0,0,1,0,12,0
603,496,57,100,1,1,0,13,0
445,449,0,60,1,0,0,16,0
260,161,0,2,1,1,0,10,0
484,412,13,59,1,1,0,8,0
461,700,0,475,1,1,0,7,0
248,197,71,27,1,1,0,11,0
296,495,0,49,1,1,0,12,0
200,304,0,82,1,1,0,8,0
511,873,1,502,1,1,0,11,0
728,307,0,50,1,0,0,5,0
969,944,124,118,1,0,0,12,0
225,307,0,74,1,1,0,8,0
237,492,0,21,1,1,4,10,0
115,160,54,61,1,1,0,9,0
5,13,0,1,1,1,4,16,0
284,289,8,31,1,1,0,10,0
207,225,24,6,1,1,0,10,0
106,147,0,1,1,1,0,11,0
220,367,0,10,1,1,0,12,0
39,43,11,0,1,1,4,10,0
311,412,0,3,0,1,0,13,0
372,374,0,46,1,1,0,14,0
42,8,0,1,1,0,0,15,0
368,459,30,65,1,1,0,7,0
566,585,0,13,1,1,0,7,0
615,830,42,108,1,1,0,15,0
174,26,52,12,1,1,0,11,0
847,958,0,209,1,1,0,14,0
1121,1118,150,615,1,1,0,10,0
245,208,4,2,1,1,2,12,0
374,445,0,104,1,1,0,7,0
505,498,0,64,1,0,0,9,0
341,1049,33,176,1,1,0,8,0
433,543,1,288,1,1,0,12,0
499,758,0,23,1,1,2,13,0
310,349,0,25,1,1,0,14,0
330,422,40,799,1,1,0,11,0
527,659,24,109,1,0,0,10,0
79,90,0,0,1,1,0,7,0
456,653,1,170,1,1,0,9,0
319,378,48,41,1,1,0,13,0
169,39,0,4,1,0,0,11,0
403,470,23,47,1,1,0,10,0
550,485,31,84,1,1,0,11,0
972,732,5,113,1,1,0,13,0
161,168,0,59,1,1,0,8,0
584,669,42,31,1,0,0,10,0
433,453,0,52,1,1,0,10,0
512,522,56,88,1,1,0,10,0
547,790,0,17,1,0,0,8,0
402,343,98,1058,1,1,0,10,0
1801,1029,0,123,1,0,0,8,0
322,365,50,122,1,1,0,6,0
1031,719,12,99,1,0,0,13,0
846,743,22,38,1,0,0,12,0
460,380,5,67,1,1,0,12,0
412,414,12,15,1,1,1,12,0
354,455,0,19,1,1,0,12,0
508,504,9,74,1,1,0,5,0
409,927,6,32,1,1,0,7,0
228,806,13,0,1,1,0,13,0
174,172,0,1,1,1,0,10,0
769,1115,25,92,1,0,0,10,0
559,674,0,13,1,1,0,14,0
382,346,23,38,1,1,0,7,0
338,334,19,30,1,1,0,13,0
345,362,0,56,1,1,0,11,0
419,411,33,38,1,1,0,13,0
476,462,9,75,1,1,0,13,0
348,338,15,15,1,1,0,6,0
582,623,0,36,1,1,0,14,0
479,547,59,80,1,1,0,10,0
352,333,14,38,1,1,0,11,0
581,544,6,58,1,1,0,11,0
560,500,39,49,1,1,0,9,0
525,1017,10,41,1,1,0,13,0
452,481,0,82,1,1,0,6,0
713,636,3,118,1,1,0,13,0
270,280,34,52,1,1,0,11,0
423,424,40,169,1,1,0,12,0
630,641,1,93,1,1,0,17,0
893,902,30,87,1,1,0,14,0
499,617,14,56,1,1,0,12,0
440,540,16,48,1,1,0,6,0
300,442,0,36,1,1,0,12,0
294,386,8,15,1,1,2,14,0
428,385,50,18,1,1,0,14,0
480,481,0,72,1,1,0,11,0
726,582,0,17,1,0,0,16,0
924,832,26,596,1,1,0,9,0
631,645,22,56,1,1,0,8,0
254,352,22,94,1,1,0,15,0
406,478,0,76,1,1,0,12,0
842,797,0,99,1,1,0,13,0
647,542,21,36,1,1,0,14,0
513,442,0,50,1,1,0,14,0
338,367,2,37,1,1,0,13,0
619,793,98,272,1,1,0,7,0
938,1194,66,27,1,1,0,14,0
293,235,0,103,1,1,0,12,0
564,538,0,71,1,1,0,13,0
727,729,0,31,1,1,0,11,0
314,187,102,200,1,0,0,11,0
651,643,39,171,1,1,0,15,0
507,582,34,99,1,1,0,11,0
632,664,14,31,1,1,0,10,0
521,491,10,69,1,1,0,14,0
468,456,41,12,1,1,0,6,0
530,597,53,71,1,1,0,8,0
339,331,48,4,1,1,0,12,0
377,387,0,33,1,1,0,13,0
414,496,0,60,1,1,0,10,0
427,548,72,54,1,1,0,11,0
536,447,33,79,1,1,0,9,0
481,555,8,29,1,1,0,11,0
492,724,0,71,1,1,0,14,0
257,291,139,19,1,1,2,10,0
582,658,0,80,1,1,0,11,0
347,381,6,66,1,1,0,9,0
298,298,22,25,1,1,0,12,0
322,411,23,12,1,1,0,11,0
183,189,6,11,1,1,0,5,0
324,323,0,114,1,1,0,10,0
176,256,0,1,1,1,0,12,0
2572,693,3,8,1,0,0,11,0
3087,526,132,32,1,0,0,22,0
4492,2210,130,184,1,0,0,15,0
2082,2197,94,875,1,0,0,7,0
1011,262,100,132,1,0,0,17,0
37,413,49,5,1,0,0,9,0
521,2397,118,9,1,0,2,17,0
16,57,26,4,1,1,2,14,0
222,440,105,5,1,0,3,14,0
44,3787,0,1,0,0,0,13,0
2253,5022,0,172,1,0,7,15,0
444,604,111,3,1,0,4,16,0
360,2288,0,228,1,0,0,12,0
142,289,0,7,1,0,0,12,0
114,248,0,49,1,0,0,14,0
340,536,0,4,1,0,4,15,0
280,691,7,8,1,0,0,16,0
93,139,0,3,1,0,0,12,0
58,170,12,20,1,0,0,9,0
247,963,78,30,1,0,0,10,0
281,1342,60,327,1,0,5,9,0
1173,1431,15,3,1,0,0,10,0
158,303,51,2,1,0,2,11,0
70,808,0,6,1,0,1,9,0
1266,678,50,1,1,0,0,13,0
197,131,3,1,0,0,0,12,0
498,148,12,2,1,0,4,12,0
1705,578,25,6,1,0,2,14,0
449,1151,0,84,0,1,0,9,0
1022,5252,140,2,1,0,3,10,0
1,15,0,0,1,1,0,10,0
611,514,94,36,1,0,0,12,0
23,140,57,0,1,0,0,10,0
804,2553,0,25,1,0,5,18,0
291,84,68,5,1,0,1,11,0
77,42,16,5,1,0,0,16,0
433,409,31,3,1,0,0,12,0
199,61,73,1,1,0,0,12,0
322,257,0,3,1,0,0,12,0
183,155,0,1,1,0,0,10,0
152,966,0,6,1,0,0,9,0
149,822,83,6,1,0,0,13,0
247,316,108,3,1,0,0,9,0
694,3255,84,8,1,0,2,15,0
287,1459,10,8,1,0,4,13,0
801,4536,82,9,1,0,3,15,0
21,586,54,3,1,0,0,12,0
12,202,135,2,1,0,0,12,0
125,691,15,3,1,0,3,14,0
25,765,70,2,1,0,0,16,0
116,1265,75,3,1,0,0,18,0
140,288,0,5,1,0,0,13,0
47,61,57,7,1,0,0,15,0
89,112,0,3,1,1,2,12,0
12,28,0,1,1,1,4,14,0
338,435,0,7,1,1,0,10,0
875,1027,24,2,1,0,0,17,0
359,586,48,8,1,1,0,12,0
353,733,32,5,1,1,0,7,0
49,326,0,7,1,0,0,14,0
47,124,0,3,1,1,0,13,0
40,118,3,4,0,0,0,13,0
282,377,37,9,1,1,0,12,0
160,304,0,5,1,1,0,10,0
605,525,54,6,1,0,0,9,0
816,646,130,9,1,0,1,15,0
288,365,8,4,1,1,0,14,0
239,416,27,8,1,1,0,14,0
153,253,0,8,1,1,0,12,0
21,63,0,1,1,0,4,14,0
41,93,0,1,1,1,0,9,0
32,48,0,4,1,0,0,17,0
13,73,56,8,1,1,0,12,0
30,347,149,1,1,0,2,9,0
443,1821,0,8,1,0,0,14,0
517,1693,67,6,1,0,4,12,0
144,651,0,8,1,1,0,11,0
98,937,0,8,1,0,0,15,0
177,237,0,9,1,1,2,12,0
295,378,27,1,1,1,1,13,0
156,165,0,8,1,0,0,16,0
5,46,105,7,1,0,0,15,0
207,258,0,4,1,0,2,12,0
316,496,105,5,1,0,0,16,0
22,46,0,1,1,1,0,13,0
70,160,0,4,1,1,0,5,0
146,203,7,4,1,1,0,6,0
261,488,0,3,1,1,0,11,0
342,465,6,3,1,1,0,7,0
183,401,0,9,1,1,0,20,0
250,796,97,9,1,0,0,20,0
96,134,3,9,1,1,0,20,0
145,327,139,6,1,0,0,14,0
146,166,0,4,1,1,4,10,0
44,361,0,2,0,0,0,15,0
792,3126,113,6,1,0,0,20,0
312,2275,110,5,1,0,0,12,0
283,477,0,5,1,1,2,8,0
1002,4209,0,9,1,0,2,16,0
234,658,93,2,1,0,0,14,0
160,177,0,2,1,0,0,12,0
207,553,0,9,1,0,2,11,0
46,22,21,4,1,0,0,18,0
154,147,22,5,1,0,0,14,0
60,58,47,6,1,0,0,13,0
149,123,0,1,1,0,0,15,0
188,504,0,3,1,1,0,9,0
401,2117,0,3,1,0,1,10,0
239,1134,145,9,1,0,0,19,0
91,149,0,7,1,0,0,18,0
78,783,28,1,1,0,0,11,0
135,517,44,4,1,0,4,11,0
203,823,71,4,1,0,0,12,0
